,Title,Playtime
343,Onechanbara: Bikini Samurai Squad,470.0
344,Phantasy Star Universe,1736.0
345,Project Sylpheed: Arc of Deception,290.0
346,Winning Eleven: Pro Evolution Soccer 2007,2220.0
348,Digimon World DS,1927.0
349,Justice League Heroes,300.0
350,Innocent Life: A Futuristic Harvest Moon,2024.0
351,Power Stone Collection,502.0
353,Open Season,225.0
354,Samurai Warriors 2,2850.0
356,Import Tuner Challenge,2340.0
357,Contact,875.0
358,Touch Detective,368.0
359,FIFA Street 2,1200.0
360,007: From Russia with Love,390.0
361,PaRappa the Rapper,85.0
362,Riviera: The Promised Land,1456.0
363,Samurai Warriors: State of War,630.0
364,Viewtiful Joe: Red Hot Rumble,594.0
365,Ice Age 2: The Meltdown,510.0
366,Rumble Roses XX,7560.0
367,Bionicle Heroes,773.0
368,Deep Labyrinth,814.0
369,Blade Dancer: Lineage of Light,1770.0
370,Every Extend Extra,720.0
371,Ultimate Ghosts 'N' Goblins,330.0
372,Xiaolin Showdown,360.0
373,Bionicle Heroes,773.0
374,Bullet Witch,450.0
375,Death Jr. II: Root of Evil,582.0
376,Alex Rider: Stormbreaker,390.0
377,Cartoon Network Racing,892.0
378,Guilty Gear: Dust Strikers,18.999999999999996
379,Gunpey DS,480.0
380,Lara Croft Tomb Raider: Legend,480.0
381,Worms: Open Warfare,547.0
384,Snoopy vs. the Red Baron,360.0
386,Ys VI: The Ark of Napishtim,820.0
387,Bomberman Land Touch!,900.0
388,Point Blank DS,9.0
389,Scurge: Hive,589.0
391,Tao's Adventure: Curse of the Demon Seal,2700.0
393,Gitaroo Man Lives!,113.0
394,Gradius Collection,607.0
395,The Legend of Heroes II: Prophecy of the Moonli...,1368.0
396,Pac-Man World Rally,165.0
398,Earth Defense Force 2017,660.0
399,WarTech: Senko no Ronde,70.0
400,MechAssault: Phantom War,420.0
401,Astonishia Story,1149.0
406,MotoGP,450.0
407,OutRun 2006: Coast 2 Coast,240.0
409,SBK: Snowboard Kids,379.0
410,Tenchu: Dark Secret,426.0
412,Metal Gear Solid: Digital Graphic Novel,182.0
415,Platypus,75.0
416,Custom Robo Arena,1237.0
417,Gurumin: A Monstrous Adventure,630.0
418,Spider-Man 3,619.0
419,Wii Fit,240.0
420,Halo 3,545.0
421,Call of Duty 4: Modern Warfare,420.0
422,Super Mario Galaxy,1200.0
423,Mario Party DS,412.0
424,Mario Party 8,300.0
425,Guitar Hero III: Legends of Rock,530.0
426,Link's Crossbow Training,120.0
427,Guitar Hero III: Legends of Rock,530.0
428,Assassin's Creed,1020.0
429,LEGO Star Wars: The Complete Saga,1200.0
430,Call of Duty 4: Modern Warfare,420.0
431,Mario & Sonic at the Olympic Games,540.0
432,LEGO Star Wars: The Complete Saga,1200.0
433,Forza Motorsport 2,3493.0
434,Madden NFL 08,1020.0
435,Guitar Hero II,570.0
436,Rock Band,480.0
437,The Legend of Zelda: Phantom Hourglass,1164.0
438,Pokmon Mystery Dungeon: Explorers of Darkness,1434.0
439,Pokmon Mystery Dungeon: Explorers of Time,1434.0
440,Assassin's Creed,1020.0
441,Uncharted: Drake's Fortune,540.0
442,Mass Effect,1500.0
443,Cooking Mama 2: Dinner with Friends,311.0
444,BioShock,810.0
445,Super Paper Mario,1186.0
446,Game Party,120.0
447,Ratchet & Clank: Size Matters,427.0
448,Dance Dance Revolution Hottest Party,480.0
449,Cooking Mama: Cook Off,204.0
450,Gran Turismo 5: Prologue,660.0
451,Professor Layton and the Curious Village,833.0
452,Resident Evil 4,1050.0
453,The Elder Scrolls IV: Oblivion,4800.0
456,Diddy Kong Racing DS,750.0
457,Big Brain Academy: Wii Degree,1200.0
458,Need for Speed: ProStreet,720.0
459,Deal or No Deal,6.999999999999996
460,LEGO Star Wars: The Complete Saga,1200.0
461,Sonic and the Secret Rings,556.0
462,The Orange Box,1740.0
463,Crackdown,740.0
464,Rock Band,480.0
466,WWE Smackdown vs. Raw 2008,786.0
467,Madden NFL 08,1020.0
468,Call of Duty 4: Modern Warfare,420.0
469,MySims,437.0
470,Mario Strikers Charged,720.0
471,Star Wars Battlefront: Renegade Squadron,163.0
472,Flash Focus: Vision Training in Minutes a Day,360.0
473,Metroid Prime 3: Corruption,933.0
474,Tom Clancy's Ghost Recon: Advanced Warfighter 2...,525.0
475,Madden NFL 08,1020.0
476,Ratchet & Clank Future: Tools of Destruction,840.0
477,LEGO Star Wars: The Complete Saga,1200.0
478,Rayman Raving Rabbids 2,300.0
479,NBA 2K8 ,240.0
480,Namco Museum DS,600.0
481,Need for Speed: ProStreet,720.0
483,Drawn to Life,840.0
486,Resident Evil: The Umbrella Chronicles,540.0
487,NCAA Football 08,720.0
488,Spectrobes,1323.9999999999998
489,The Sims 2: Castaway,480.0
490,WWE Smackdown vs. Raw 2008,786.0
491,Madden NFL 08,1020.0
493,The Simpsons Game,60.0
494,Ace Combat 6: Fires of Liberation,825.0
495,Heavenly Sword,420.0
496,Ninja Gaiden Sigma,871.9999999999999
497,Ben 10: Protector of the Earth,273.0
498,The Simpsons Game,60.0
499,CrossworDS,1032.0
500,Sonic Rush Adventure,540.0
502,Tony Hawk's Proving Ground,488.0
503,Call of Duty: Roads to Victory,375.0
504,Transformers: The Game,330.0
505,NBA 2K8,240.0
506,Medal of Honor: Heroes 2,300.0
507,Spider-Man 3,619.0
508,Tom Clancy's Rainbow Six: Vegas,540.0
509,Need for Speed: ProStreet,720.0
511,Dance Dance Revolution Universe 2,480.0
512,MX vs. ATV Untamed,720.0
513,Final Fantasy IV,2123.0
514,NBA Street Homecourt,463.0
515,The Simpsons Game,60.0
517,WWE Smackdown vs. Raw 2008,786.0
518,Tiger Woods PGA Tour 07,600.0
519,Crash of the Titans,480.0
520,Sonic Rivals 2,1320.0
522,Medal of Honor: Airborne,360.0
523,The Sims 2: Castaway,480.0
524,Spider-Man 3,619.0
525,Lost Odyssey,3923.0000000000005
526,Bee Movie Game,338.0
527,Spider-Man 3,619.0
528,Final Fantasy Tactics,3000.0
529,Endless Ocean,658.0000000000001
531,Ratatouille,750.0
532,The Sims 2: Pets,1662.0
533,Two Worlds,1654.9999999999998
534,Crash of the Titans,480.0
535,Sonic the Hedgehog,188.0
536,Mega Man Star Force: Dragon,1200.0
537,Sonic the Hedgehog,188.0
538,Harry Potter and the Order of the Phoenix,735.0
540,WWE Smackdown vs. Raw 2008,786.0
541,The Simpsons Game,60.0
542,DiRT,780.0
543,Kane & Lynch: Dead Men,360.0
544,Jam Sessions,15.0
545,Monster Hunter Freedom 2,4080.0
546,Shadowrun,1620.0
547,Thrillville: Off the Rails,578.0
548,Tony Hawk's Proving Ground,488.0
550,The World Ends With You,1800.0
551,The BIGS,608.0
552,NCAA Football 08,720.0
553,Final Fantasy Tactics A2: Grimoire of the Rift,4500.0
554,Beowulf: The Game,485.00000000000006
555,The Darkness,600.0
556,Tom Clancy's Ghost Recon: Advanced Warfighter 2...,525.0
557,Final Fantasy,1200.0
558,Lair,600.0
559,Transformers: The Game,330.0
560,Command & Conquer 3: Tiberium Wars,1500.0
561,Overlord,1200.0
562,Diner Dash,300.0
563,Medal of Honor: Heroes 2,300.0
564,MX vs. ATV Untamed,720.0
565,Time Crisis 4,60.0
566,Dragon Ball Z: Budokai Tenkaichi 3,900.0
567,Final Fantasy XII: Revenant Wings,1858.9999999999998
569,Unreal Tournament III,751.0
570,Bee Movie Game,338.0
571,Def Jam: Icon,480.0
572,Transformers: The Game,330.0
573,TimeShift,535.0
574,SSX Blur,600.0
575,Bleach: The Blade of Fate,540.0
577,Final Fantasy II,1680.0
580,Virtua Fighter 5,90.0
581,NiGHTS: Journey of Dreams,397.0
582,Puzzle Quest: Challenge of the Warlords,2400.0
584,Kane & Lynch: Dead Men,360.0
585,Crash of the Titans,480.0
586,Harry Potter and the Order of the Phoenix,735.0
587,SimCity DS,180.0
588,Wario: Master of Disguise,570.0
589,No More Heroes,780.0
590,BlackSite: Area 51,348.0
591,Shrek the Third,285.0
592,Shrek the Third,285.0
593,Surf's Up,77.0
595,TMNT,300.0
596,Spider-Man: Friend or Foe,540.0
597,Contra 4,187.0
598,Phoenix Wright: Ace Attorney - Trials and Tribu...,1262.0
599,Disney Pirates of the Caribbean: At World's End,420.0
600,Dragon Ball Z: Shin Budokai - Another Road,501.0
601,Spider-Man 3,619.0
602,The Golden Compass,420.0
603,Stuntman: Ignition,380.0
604,Chicken Shoot,37.0
605,Shrek the Third,285.0
606,DK: Jungle Climber,360.0
607,Dragon Quest IV: Chapters of the Chosen,1800.0
608,300: March to Glory,444.0
609,Fire Emblem: Radiant Dawn,2870.0
610,The Golden Compass,420.0
611,Manhunt 2,570.0
613,Virtua Tennis 3,930.0
614,All-Pro Football 2K8,720.0
616,The Warriors,627.0
617,Ghost Rider,289.0
618,Tony Hawk's Proving Ground,488.0
619,Juiced 2: Hot Import Nights,936.0
620,Juiced 2: Hot Import Nights,936.0
621,The Simpsons Game,60.0
622,Syphon Filter: Logan's Shadow,600.0
624,Ratatouille,750.0
625,Trauma Center: New Blood,754.0
626,Hotel Dusk: Room 215,900.0
627,Mega Man ZX Advent,656.0
628,Silent Hill: 0rigins,360.0
629,Harry Potter and the Order of the Phoenix,735.0
630,NHL 08 ,1050.0
631,Castlevania: The Dracula X Chronicles,450.0
632,Tony Hawk's Proving Ground,488.0
633,Jeanne d'Arc,2221.0
634,BWii: Battalion Wars 2,583.0000000000001
635,Battlestations: Midway,523.0
637,Touch the Dead,279.0
638,The Darkness,600.0
640,The BIGS,608.0
641,Armored Core 4,1200.0
642,Etrian Odyssey,3243.0
643,Ben 10: Protector of the Earth,273.0
644,Tom Clancy's Splinter Cell: Double Agent,660.0
645,Looney Tunes: Acme Arsenal,189.0
646,Zack & Wiki: Quest for Barbaros' Treasure,900.0
648,Virtua Fighter 5,90.0
649,Lunar Knights,915.0
650,Enchanted Arms,2400.0
651,F.E.A.R.: First Encounter Assault Recon,540.0
652,Folklore,998.9999999999999
653,Juiced 2: Hot Import Nights,936.0
654,The Elder Scrolls IV: Shivering Isles,948.0
655,NHL 08,1050.0
657,Rayman Raving Rabbids,371.0
658,Viva Pi$?ata: Party Animals,533.0
659,Warriors Orochi,900.0
660,Luminous Arc,1458.9999999999998
661,Picross DS,3041.0
662,Harry Potter and the Order of the Phoenix,735.0
664,The BIGS,608.0
665,Stuntman: Ignition,380.0
666,Mortal Kombat: Armageddon,500.00000000000006
667,Def Jam: Icon,480.0
668,Soulcalibur Legends,555.0
669,Surf's Up,77.0
670,Planet Puzzle League,18.999999999999996
671,DiRT,780.0
672,TMNT,300.0
673,Soldier of Fortune: Payback,195.0
674,Dynasty Warriors: Gundam,3048.0
675,Disney Pirates of the Caribbean: At World's End,420.0
676,Bee Movie Game,338.0
677,Dynasty Warriors: Gundam,3048.0
678,Golden Axe,60.0
679,Dementium: The Ward,240.0
680,Rondo of Swords,1062.0
681,Disgaea: Afternoon of Darkness,3576.0
683,Dragon Quest Swords: The Masked Queen and the T...,558.0
684,Call of Juarez,491.99999999999994
686,Eternal Sonata,2022.0000000000002
687,Kingdom Under Fire: Circle of Doom,3300.0
688,Vampire Rain,630.0
689,All-Pro Football 2K8,720.0
691,Conan,360.0
694,Conan,360.0
695,Spider-Man: Friend or Foe,540.0
698,Thrillville: Off the Rails,578.0
699,Geometry Wars: Galaxies,1110.0
700,Rayman Raving Rabbids,371.0
703,Beowulf: The Game,485.00000000000006
704,The Golden Compass,420.0
705,Scarface: The World is Yours,1383.9999999999998
708,NBA Street Homecourt,463.0
709,Geometry Wars: Galaxies,1110.0
710,Final Fantasy: Crystal Chronicles - Echoes of Time,1102.0
712,MX vs. ATV Untamed,720.0
713,WWE SmackDown vs. Raw 2008,786.0
714,The BIGS,608.0
715,Brave Story: New Traveler,1515.0
716,WipEout Pulse,540.0
717,TimeShift,535.0
719,Beautiful Katamari,360.0
720,Hour of Victory,369.0
721,Fantastic Four: Rise of the Silver Surfer,385.0
722,SEGA Rally Revo,2040.0
723,7 Wonders of the Ancient World,291.0
724,Draglade,244.0
725,Final Fantasy Fables: Chocobo Tales,735.0
728,The Golden Compass,420.0
729,Harry Potter and the Order of the Phoenix,735.0
730,Bladestorm: The Hundred Years' War,3075.0
731,Surf's Up,77.0
732,Blazing Angels 2: Secret Missions of WWII,750.0
733,InuYasha: Secret of the Divine Jewel,574.0
734,The Settlers,290.0
735,Shrek the Third,285.0
736,Ratatouille,750.0
737,Soldier of Fortune: Payback,195.0
738,Heatseeker,585.0
741,Fantastic Four: Rise of the Silver Surfer,385.0
743,Pro Evolution Soccer 2008,4200.0
744,Blazing Angels 2: Secret Missions of WWII,750.0
745,Cake Mania,352.0
747,Touch Detective 2 1/2,398.0
748,7 Wonders of the Ancient World,291.0
750,Crush,396.0
752,The Sims 2: Castaway,480.0
753,Test Drive Unlimited,2310.0
754,Thrillville: Off the Rails,578.0
756,Bladestorm: The Hundred Years' War,3075.0
757,Looney Tunes: Acme Arsenal,189.0
758,SEGA Rally Revo,2040.0
760,Indianapolis 500 Legends,870.0
761,Worms: Open Warfare 2,547.0
762,Alien Syndrome,180.0
763,BlackSite: Area 51,348.0
764,Code Lyoko: Quest for Infinity,348.0
766,FlatOut: Ultimate Carnage,1380.0
767,Zoids Assault,723.0
768,Alien Syndrome,180.0
770,Heroes of Mana,1621.0
771,Myst,423.0
772,Coded Arms: Contagion,600.0
774,F.E.A.R. Files,600.0
